provider,site,status,best_price_url,has_prices,has_yield,dates_on_page,pdf_links,wb_snapshots,wb_distinct,wb_first,wb_last,wb_note,error,MANUAL_cadence,MANUAL_history_available,MANUAL_fee_disclosed,MANUAL_minimum_disclosed,MANUAL_format,MANUAL_verdict
Regal Alliance Investment Ltd.,https://regalallianceghana.com,200,https://regalallianceghana.com#,True,False,,0,0,0,,,,,,,,,,
Republic Investments (Ghana) Limited,http://www.republicinvestmentsgh.com,502,,False,False,,0,0,0,,,,__ERROR__ HTTP 502,,,,,,
Resurgence Securities LTD,https://resurgecap.com,200,,False,False,,0,0,0,,,,,,,,,,
SAS Investment Management Limited,https://sasghana.com,0,,False,False,,0,0,0,,,,__ERROR__ URLError: <urlopen error [WinError 10054] An existing connection was forcibly closed by the remote host>,,,,,,
SDC Capital Limited,https://sdcgh.com,200,,False,False,,0,0,0,,,,,,,,,,
SEM Capital Advisors Limited,https://semcapitaladvisors.com,200,,False,False,,0,0,0,,,,,,,,,,
Sentinel Asset Management Ltd,https://www.sentinelaml.com,200,,False,False,,0,0,0,,,,,,,,,,
Serengeti Asset Management Limited,https:// www.serengeticapital.com,0,,False,False,,0,0,0,,,,__ERROR__ InvalidURL: URL can't contain control characters. ' www.serengeticapital.com' (found at least ' '),,,,,,
SIC Financial Services Limited,https://sic-fsl.com,200,,False,False,,0,0,0,,,,,,,,,,
Stanbic Investment Management Services LTD,https://sims.com.gh,0,,False,False,,0,0,0,,,,__ERROR__ URLError: <urlopen error [WinError 10061] No connection could be made because the target machine actively refu,,,,,,
Star Asset Fund Management Ltd,https://stargroupgh.com,0,,False,False,,0,0,0,,,,__ERROR__ URLError: <urlopen error [Errno 11001] getaddrinfo failed> (domain does not resolve — the URL in PROVIDERS is ,,,,,,
Steward Capital Partners Limited,https://steward-capital.com,200,https://steward-capital.com#,True,False,"December 3, 2018; December 7, 2018",0,0,0,,,,,,,,,,
Temple Investments LTD,https://templeinvest.com,200,,False,False,,0,0,0,,,,,,,,,,
Tesah Capital Limited,https://www.tesahcapital.com,200,https://www.tesahcapital.com#,True,True,09-05-2011; 09-08-2021; 19-08-2026,0,0,0,,,,,,,,,,
Thamani Investment Management Ltd,https://reliancecapitalgh.com,0,,False,False,,0,0,0,,,,__ERROR__ URLError: <urlopen error [Errno 11001] getaddrinfo failed> (domain does not resolve — the URL in PROVIDERS is ,,,,,,
TTL Capital Limited,https://ttlcapital.com,200,,False,False,,0,0,0,,,,,,,,,,
Union Capital Limited,https://unioncapitalgh.com,200,,False,False,,0,0,0,,,,,,,,,,
WAICA RE Capital Limited,https://waicarecapital.com,200,,False,False,,3,0,0,,,,,,,,,,
