category,name,details_raw,website
Fund Managers,10th Capital Investments Limited,"P.O.Box 7788, Accra-North | Y21B Agostinho Neto Road, Airport Residential, Accra, Ghana | 0209104369 | 10thcapital.investments | info@10thcapital.investments",https://10thcapital.investments
Fund Managers,Integrity Fund Management Limited,"P.O.Box SE 1099, Suame | First Floor, SIC Insurance PLC Building, Bompata, Kumasi. Digital Address: AK-020-1788 | (0322)-027475 | integrityghana.com | info@integrityghana.com",https://integrityghana.com
Fund Managers,Investa Capital Fund Management Ltd,P.O Box 16850 Accra | B801/7 EDUARDO MODHLANA CLOSE AWUDOME ROUNDABOUT ACCRA-NORTH. | (0302)-250287 | investacapitalghana.com | investacapitalghan@gmail.com,https://investacapitalghana.com
Fund Managers,InvestCorp Asset Management Ltd,"P.O.Box GP 22493, Accra. | # 15 Wawa Drive, North Dzorwulu | +233(0)302 509 045 | investcorpgh.com | info@investcorpgh.com",https://investcorpgh.com
Fund Managers,InvestEye Capital Partners Ltd,"P.O Box GP 13730, Accra | Flat 1, Damba 13, Adowa Street Borteyman Estates, SSNIT Flat | (0302)-520054 / (0540)-121262-4 | investeyecapital.com | info@investeyecapital.com",https://investeyecapital.com
Fund Managers,Investiture Capital Ltd,"P.O. Box 6945, Accra-North | NO. 3 Fifth Crescent, Asylum Down | (0342)-291297 / (0244)-721000 | investituregh.com | investiture@investituregh.com",https://investituregh.com
Fund Managers,Investrust Capital Ltd.,"P O Box DT316, Adenta, Accra GA-158-5401 | Hse No. 724/14, Efua Sutherland Street, Dzorwulu, Accra. | 055-825-0678/020-820-0791 | investrust.com.gh | investrustghana@gmail.com, info@investrust.com.gh/kwasinkansah@gmail.com",https://investrust.com.gh
Fund Managers,Legacy Fund Management Limited,"P.O.Box GP 19210, Accra | No. 6 Lily Street GZ-005-5881 Teshie Nungua Estate | (0303)-966046/ (0303)-977335 | legacygh.com | info@legacygh.com",https://legacygh.com
Fund Managers,Linx Capital Limited,"P.O. Box AT 415, Achimota | 1st Floor E-Plaza Building Nii Nortei Nyanchi Street GA-156-5874 | 0244619705/0204619705 | linxcapitalltd.com | info@linxcapitalltd.com",https://linxcapitalltd.com
Fund Managers,Merban Capital LTD,"P.O Box CT 1317, Cantonments - Accra | No. 1 Abdul Diouf Street, South Ridge, GA-052-5000 | (0302)-251137 / (0302)-251138 | merbancapital.com | info@merbancapital.com",https://merbancapital.com
Fund Managers,Met Capital Group Ltd.,"P. O. Box 10090 Accra-North, Ghana | Decorbuild Plaza, Opposite East Legon Melcom, East Legon, Accra | 0302-985443 / 0501339481 / 0244228704 | www.metcapitalgroupgh.com | info@metcapitalgroup.gh.com",https://www.metcapitalgroupgh.com
Fund Managers,Mirepa Investment Advisors Ltd,"Nii Afrotse St, West Legon, Greater Accra, GE-313-6735 (SB), Ghana. | 56 Nii Afrotse Street Westlands-Accra | 0303957098/0257957909 | www.mirepaadvisors.com | info@mirepaadvisors.com",https://www.mirepaadvisors.com
Fund Managers,Monarch Capital Limited,"P.O.Box TF 50, Trade Fair Site | 201A Yiyiwa Street, Abelenkpe, Accra | (0302)-766761/2 | monarchcapital.com.gh | info@monachcapital.com.gh",https://monarchcapital.com.gh
Fund Managers,NA Jones Capital Limited,"P.O.Box CT 508, Cantoments | Hse No. B702, The Octagon-Barnes Road, Accra | (0302)-748009 | najonescapital.com | info@najonescapital.com",https://najonescapital.com
Fund Managers,National Trust Holding Company Limited (NTHC),"P.O Box KIA 9563, Airport | Martco House, No. D542/2 Okai-Mensah Link, Adabraka | (0302)-238495 / 240242 / 235814-5 | nthcghana.com | nthc@ghana.com",https://nthcghana.com
Fund Managers,New Generation Investment Services Limited,"P.O Box KS 8425, Kumasi | Cocobod Jubilee, 1st Floor, Guggisberg, Road, Adum | (0322)-91608 / (0269)-740903 | ngis-group.com | info.ngis@ngis-group.com",https://ngis-group.com
Fund Managers,NewCase Capital Limited,"P.O Box MD 1366, Madina | House No. 2, 3rd Right Close, Lake Avenue, off Trassacco-Adjiringanor Road | (0302)-998407 / 998408 | newcasefinance.com | info@newcasefinance.com",https://newcasefinance.com
Fund Managers,Nimed Capital LTD.,"PMB CT 7021, Cantonments | Plot 95, Ambassadorial Drive, East Legon, Accra | (0302)-543837 / (0267)-548339 | nimedcapital.com | info@nimedcapital.com",https://nimedcapital.com
Fund Managers,OctaneDC Limited,"P. O. Box CT 10091 Cantonments, Accra | House No. 169, Block 6 GE-229-1643 South-East Haatso 9 (off the Atomic Kwabenya Road) | 0302544178/9 / 0540122278 | octanedc.com | info@octanedc.com",https://octanedc.com
Fund Managers,Orialles Capital Ltd,"P.O.Box CT 5411, Accra | 1 Norfo Close, North Dzorwulu, Accra | (0302)-775442 / (0303)-934412 / (0246)-551586 | N/A | oriallescapital5411@gmail.com",https://N/A
Fund Managers,Pent Asset &amp; Wealth Management Ltd.,"P.O.Box, AN 19058, Accra-North | No. 26, 2nd Street, Manu Avenue, Westland, Accra. | +233 30 243 6887 | pentassets.com | pent@lumgint.com",https://pentassets.com
Fund Managers,PLUTUS INVESTMENT LTD,"P. O. Box STC 163 Accra | #35 Ofori Tibo Lane East Legon, Accra | 0302- 738 961 | www.plutusinvestmentltd.com | info@plutusinvestmentltd.com",https://www.plutusinvestmentltd.com
Fund Managers,Premium Place Investments Ltd.,"P. O. Box CT 6578, Cantonments GA-207-6571 | # 2 Kotei Anum Lane West Legon GPS: GA - 426-4489 | (0302)-798704 / (0307)-034122 / (0302)-971320 | premiumplaceinvestments.com | info@premuimplaceinvestments.com",https://premiumplaceinvestments.com
Fund Managers,Prestige Capital Limited,"P.O.Box KS 16662, Adum | 3rd Floor Dufie Towers Adum Kumasi | (0235)-080719 / (0501)-295775 / (0501)-277234 | prestigecapitalgh.com | info@prestigecapitalgh.com",https://prestigecapitalgh.com
Fund Managers,Prudential Securities Limited,"P.O. Box CT 628 Cantoments | 8 Nima Avenue, Kanda, Ring Road Central | (0302)-771284 / 770963 / 768386 | prudentialsecuritiesghana.com | info@prudentialsecuritiesghana.com",https://prudentialsecuritiesghana.com
Fund Managers,RAD Business Advisory Network Centre Ltd,"P. O Box PMB KIA 108, Accra | Premium Place No. 25 Osu Badu Avenue Ring road East | (0307)-088888 / (0244)-266662 | radbanc.net | rosemondansah@hotmail.co.uk",https://radbanc.net
Fund Managers,Regal Alliance Investment Ltd.,"P.O Box SK 1016, Sakumono | 1st Floor, The Word Plaza 7 Freedom Street Opposite Tema Community 25 Mall | (0302)-818416 / (0317)-031470 | regalallianceghana.com | info@regalallianceghana.com",https://regalallianceghana.com
Fund Managers,Republic Investments (Ghana) Limited,"P. O Box CT 4603, Cantonments | No. 35, Sixth Avenue North Ridge | (0302)-664214 /664430 | http://www.republicinvestmentsgh.com | investments@republicghana.com, investments@republicinvestmentsgh.com",http://www.republicinvestmentsgh.com
Fund Managers,Resurgence Securities LTD,"P. O. Box MB 318, Accra. | PwC Tower, 1st Floor Cantonments City, Accra | +233(0)506843668 | resurgecap.com | kwabena@resurgecap.com",https://resurgecap.com
Fund Managers,SAS Investment Management Limited,"No. C939/3, 2nd Ridge Link, North Ridge P.O Box KA 16446 | 14th Floor, World Trade Centre Accra | (0302)-661770 / (0302)-661008 | sasghana.com | info@sasghana.com",https://sasghana.com
Fund Managers,SDC Capital Limited,"P.O Box 14198 | Hse # F155/6 Orphans Crescent North-Labone Accra, | (0302)-0302786754 | sdcgh.com | capital@sdccapital.com.gh",https://sdcgh.com
Fund Managers,SEM Capital Advisors Limited,"P.O Box CT 2069, Cantonments | Suite A-205, The Octagon, 11 Independence Ave, Accra | (0302)-235400 / (0302)-238382 | semcapitaladvisors.com | capital@semcapitaladvisors.com",https://semcapitaladvisors.com
Fund Managers,Sentinel Asset Management Ltd,"P.O. Box CT 10027, Cantonments - Accra | 1st Floor, 1 Airport Square, Airport City, Accra. | (054)-0113507 | www.sentinelaml.com | info@sentinelaml.com",https://www.sentinelaml.com
Fund Managers,Serengeti Asset Management Limited,P.O.Box CT 2868 | 5 Abafun Crescent Labone Accra | 0303939382 | www.serengeticapital.com | service@serengeticapital.com,https:// www.serengeticapital.com
Fund Managers,SIC Financial Services Limited,"PMB CT 314, Cantoments | No.67 A&amp;B Switchback Road, Cantonments | (0302)-767051 / 767163 / 767117 | sic-fsl.com | info@sic-fsl.com",https://sic-fsl.com
Fund Managers,Stanbic Investment Management Services LTD,"P. O Box CT 2344, Cantonments | 4th Floor, Stanbic Heights, 215 South Liberation Link, Airport City | 0302610690 | sims.com.gh | SIMSRegulatoryTeam@stanbic.com.gh",https://sims.com.gh
Fund Managers,Star Asset Fund Management Ltd,"P.O Box KIA 9635, Airport | 40, Boundary Road. East Legon | (0302)-542962 / (0289)-601821 | stargroupgh.com | info@stargroupgh.com",https://stargroupgh.com
Fund Managers,Steward Capital Partners Limited,"P.O.Box GP 14863, Accra | Plot 113 A Mbabane Avenue,Opposite Hotel Obama East Legon Residential Area | (0302)-221940-1 | steward-capital.com | info@steward-capital.com",https://steward-capital.com
Fund Managers,Temple Investments LTD,"P. O. Box CT 9828, Cantonments | HNO F305/6 Adebeto Close Labone, Accra | (0303)-931514 | templeinvest.com | info@templeinvest.com",https://templeinvest.com
Fund Managers,Tesah Capital Limited,"P.O. Box GP 2222, Accra | 8th Floor SSNIT Emporium Accra | 030-2977813/ 0302977471 | www.tesahcapital.com | info@tesahcapital.com",https://www.tesahcapital.com
Fund Managers,Thamani Investment Management Ltd,"P.O. Box CT 4984, Cantonments, Accra | 4th Floor, Gulf House, Casio Link Street, East Legon, Accra, | (0302)-544747 | reliancecapitalgh.com | info@reliancecapitalgh.com",https://reliancecapitalgh.com
Fund Managers,TTL Capital Limited,"P.O.Box SK 1081, Sakumono | H/No. C122/3, 1st Floor, Farrar Avenue, Asylum Down | (0302)-201222 / (0307)-002624 | ttlcapital.com | info@ttlcapital.com",https://ttlcapital.com
Fund Managers,Union Capital Limited,"P.O.Box KN 5569 Kaneshie, | NO. 735 Pawpaw Street / East Legon | (0303)-973847 | unioncapitalgh.com | info@unioncapitalgh.com",https://unioncapitalgh.com
Fund Managers,WAICA RE Capital Limited,"P.O.Box CT 11008, Cantonments Accra | 4th Floor Gulf House Left Wing Gulf Street Accra | (0302)-631164 / (0501)-577546-8 | waicarecapital.com | info@waicarecapital.com",https://waicarecapital.com
Mutual Funds,Anidaso Mutual Fund Plc,"P. O. Box KS 8425, Kumasi | 1st Floor, Cocobod Jubilee Building, Adum | +233(0)3220 91608 +233(0)26 9740903 | ngis-group.com | info@anidaso.com.gh info@ngis-group.com",https://ngis-group.com
Mutual Funds,Brassica Alpha Fund Plc,"2ND FLOOR, SKYLIGHT SQUARE 211C OSU BADU STREET AIRPORT WEST GA-118-7330 | 2ND FLOOR, SKYLIGHT SQUARE 211C OSU BADU STREET AIRPORT WEST GA-118-7330 | 0303944356 / 0205666333 | https://www.brassicagroup.com/brassica-capital/home | info@brassicagroup.com",https://www.brassicagroup.com/brassica-capital/home
Mutual Funds,CDH Balanced Fund Plc,"P.O.Box 14596, Accra | CDH Asset Management Ltd, # 36 Independence Avenue, North Ridge | +233 30 267 1050 | linxcapitalltd.com | info@linxcaitalltd.com",https://linxcapitalltd.com
Mutual Funds,Christian Community Mutual Fund Limited,"The Rhombus, Plot 24, Tumu Avenue, Kanda Estates | The Rhombus, Plot 24, Tumu Avenue, Kanda Estates | +233(0)559670549 +233 (0) 302 227 698 | blackstaradvisors.com | info@blackstaradvisors.com",https://blackstaradvisors.com
Mutual Funds,CM Fund PLC,"Post Office Square, High Street | ACCRA: F155/6, Orphans&#039; Crescent, North Labone. GhanaPost GPS - 02777298 | +233302786754 0322 397 41 4 | www.sdccapital.com.gh/index.php/cm-fund | capital@sdcgh.com",https://www.sdccapital.com.gh/index.php/cm-fund
Mutual Funds,Crystal Entrepreneur Fund Ltd.,"P.O.Box CT 1650, Cantoments-Accra | Crystal Capital Limited | +233 (0) 302818721 +233 (0) 207465922 | crystalcapitalgh.com | info@crystalcapitalgh.com",https://crystalcapitalgh.com
Mutual Funds,Crystal Wealth Fund Ltd.,"P.O.Box CT 1650, Cantoments-Accra | Crystal Capital Limited | +233 (0) 302818721 +233 (0) 207465922 | crystalcapitalgh.com | info@crystalcapitalgh.com",https://crystalcapitalgh.com
Mutual Funds,Dalex Vision Fund PLC,"P.O.Box CT 7991, Cantonments Accra | Cidan House,H/No.261 Haatso North Legon - Accra | 030 254 4179 | cidaninvestments.com | info@cidaninvestments.com",https://cidaninvestments.com
Mutual Funds,Databank Ark Fund Plc,"61 Barnes Road PMB, Ministries Post Office. Accra | No.61 Barnes Rd, Adabraka | +233 302 610610 | databankgroup.com | info@databankgroup.com",https://databankgroup.com 
Mutual Funds,DataBank Balanced Fund Plc,"61 Barnes Road, PMB, Ministries Post Office Accra | No. 61 Barnes Rd, Adabraka | +233 302 610610 | databankgroup.com | info@databankgroup.com",https://databankgroup.com
Mutual Funds,DataBank Educational Investment Fund Plc,"61 Barnes Road, PMB, Ministries Post Office, Accra | No.61 Barnes Rd, Adabraka | +233 302 610610 | www.databankgroup.com | info@databankgroup.com",https://www.databankgroup.com
Mutual Funds,Databank EPACK Investment Fund Plc,"61 Barnes Road, PMB, Ministries Post Office Accra | No. 61 Barnes Rd, Adabraka | +233 302 610610 | databankgroup.com | info@databankgroup.com",https://databankgroup.com
Mutual Funds,DataBank MFund Plc,"61 Barnes Road, PMB, Ministries Post Office, Accra | No. 61 Barnes Rd, Adabraka | +233 302 610610 | databankgroup.com | info@databankgroup.com",https://databankgroup.com
Mutual Funds,Delta Fund Plc,"PMB 51 Osu | The Rhombus Tumu Avenue, Kanda | 0596994904 | blackstargroup.ia | complaince@blackstar.ai",https://blackstargroup.ia
Mutual Funds,EcoCapital Prime Fund Ltd,"Hackman Street East Legon,behind Del International Hospital | East Legon | 030935531/2 | www.ecocapinvestment.com | invest@ecocapinvestment.com",https://www.ecocapinvestment.com
Mutual Funds,EDC Ghana Balanced Fund Plc,"P.O Box AN 16746 | &quot;Ecobank Head Office Building, 2nd Floor 2, Morocco Lane, Off the Independence Avenue&quot; | (233) 0302634165 / 0302634150 | www.ecobank.com | edc-clientservice@ecobank.com",https://www.ecobank.com
Mutual Funds,EDC Retirement Fund Plc,"EDC Investments Limited P.O.Box AN 16746,Accra-Ghana | EDC Investments Limited 2, Morocco Lane, Off the Independence Avenue, 2Floor | 0302-634165 | www.ecobank.com | EIL@Ecobank.com",https://www.ecobank.com
Mutual Funds,Enhanced Equity Beta Fund Plc,"PMB 59, Osu | The Rhombus, Plot 24, Tumu Avenue, Kanda Estates | (0302)-227698 | www.blackstaradvisors.com | info@blackstaradvisors.com",https://www.blackstaradvisors.com
Mutual Funds,Financial Independence Mutual Fund Plc,"No 63 Ring Road Central, Accra P. O Box CT 10535 | No 63 Ring Road Central, Accra | (0302) 231536/ (0302) 231546 | www.firstfinancecompany.com | info@firstfinancecompany.com",https://www.firstfinancecompany.com
Mutual Funds,First Atlantic Income Fund Plc,"No. 3 Dr. Isert Road North Ridge, Accra P.O. Box CT1620, Cantonments. | #3 Dr. Isert Road North Ridge, Accra | (+233)501419088/ 030220116 | www.faam.com.gh | info@faam.com.gh",https://www.faam.com.gh
Mutual Funds,First Atlantic Personal Investment Plan Plc,"P.O Box CT 1620, Cantonments | No. C/00/3 Dr. Issert Road, North Ridge | 0302200116 | www.faam.com.gh | info@faam.com.gh",https://www.faam.com.gh
Mutual Funds,First Finance Elite Mutual Fund Plc,"House No 63 Ring Road ,Central Accra P.o Box CT 10535, Cantonments, Accra | House No 63 Ring Road ,Central Accra | (0302) 231536/ (0302) 231546 | www.firstfinancecompany.com | info@firstfinancecompany.com",https://www.firstfinancecompany.com
Mutual Funds,First Fund Limited,"H/No 36 Kaanyemi Crescent, Asylum Down, Accra- Ghana. | H/No 36 Kaanyemi Crescent, Asylum Down, Accra- Ghana. | 0302235400 / 0302238382 | semcapitaladvisors.com | capital@semcapitaladvisors.com",https://semcapitaladvisors.com
Mutual Funds,FirstBanc Heritage Fund Limited,"H/No 36 Kaanyemi Crescent, Asylum Down, Accra-Ghana | H/No 36 Kaanyemi Crescent, Asylum Down, Accra-Ghana | 0307010249 / 0307079256 | semcapitaladvisors.com | capital@semcapitaladvisors.com",https://semcapitaladvisors.com
Mutual Funds,Fixed Income Alpha Plus Fund Plc,"PMB 59, Osu | The Rhombus, Plot 24, Tumu Avenue, Kanda Estates | (0302)-227698 | www.blackstaradvisors.com | info@blackstaradvisors.com",https://www.blackstaradvisors.com
Mutual Funds,GLICO Fixed Income Fund Plc,"P.O.Box 4251 | Hse No. 3A Digya Lane, Airport Residential Area, Accra GA-153-2998 | 0303972870 / 0501462396 | www.glicocapital.com | info@glicocapital.com",https://www.glicocapital.com
Mutual Funds,Gold Money Market Fund Plc,"P.O Box CS 8876 | Liberty Capital (GH) Limited, Chez Julie Plaza, Community 10 | 00233 553 051 313 | ashfieldinvest.com | info@ashfieldinvest.com",https://ashfieldinvest.com
Mutual Funds,IC Liquidity Fund Plc,"C/O IC Asset Managers (Ghana) Limited 2 Johnson Sirleaf Road, North Ridge, Accra. | 2 Johnson Sirleaf Road, North Ridge, Accra. | (0302)-765086/0308250051 | www.icassetmanagers.com | info@icassetmanagers.com",https://www.icassetmanagers.com
Mutual Funds,Ideal Sika Fund Plc,IGS Financial Services Limited | CalBank Plc,
Mutual Funds,InvestCorp Active Equity Fund Plc,"P.O.Box GP 22493, Accra | #15 Wawa Drive, North Dzorwulu | 00233(0)302 50 90 45 | www.investcorpgh.com | info@investcorpgh.com",https://www.investcorpgh.com
Mutual Funds,InvestCorp Mid - Tier Fund PLC,"P.O.Box GP 22493, Accra | #15 Wawa Drive, North Dzorwulu | 00233(0)302 50 90 45 | www.investcorpgh.com | info@investcorpgh.com",https://www.investcorpgh.com
Mutual Funds,InvestCorp Money Market Fund Plc,"P.O.Box GP 22493, Accra | #15 Wawa Drive, North Dzorwulu | 00233(0)302 50 90 45 | www.investcorpgh.com | info@investcorpgh.com",https://www.investcorpgh.com
