wpdmdl,fund,period,title,slug,fund_title,fund_slug,period_title,period_slug,conflict,authoritative,url
7809,pips,2025-03,MARCH 2025 PIPS FACT SHEET,march-2025-pips-fact-sheet,pips,pips,2025-03,2025-03,,no - verify against PDF contents,https://faam.com.gh/download/march-2025-pips-fact-sheet/?wpdmdl=7809&refresh=6a88c41a127ec1787347994
7805,pips,2025-01,JAN 2025 PIPS FACT SHEET,jan-2025-pips-fact-sheet,pips,pips,2025-01,2025-01,,no - verify against PDF contents,https://faam.com.gh/download/jan-2025-pips-fact-sheet/?wpdmdl=7805&refresh=6a88c41a149cc1787347994
7802,pips,2024-11,NOV 2024 PIPS FACT SHEETS,nov-2024-pips-fact-sheets,pips,pips,2024-11,2024-11,,no - verify against PDF contents,https://faam.com.gh/download/nov-2024-pips-fact-sheets/?wpdmdl=7802&refresh=6a88c41a16b6d1787347994
7801,pips,2024-12,DEC 2024 PIPS FACT SHEETS,dec-2024-pips-fact-sheets,pips,pips,2024-12,2024-12,,no - verify against PDF contents,https://faam.com.gh/download/dec-2024-pips-fact-sheets/?wpdmdl=7801&refresh=6a88c41a18d691787347994
7800,pips,2024-10,OCT 2024 PIPS FACT SHEETS,oct-2024-pips-fact-sheets,pips,pips,2024-10,2024-10,,no - verify against PDF contents,https://faam.com.gh/download/oct-2024-pips-fact-sheets/?wpdmdl=7800&refresh=6a88c41a1afa41787347994
7799,pips,2024-08,AUGUST 2024 PIPS FACT SHEET,august-2024-pips-fact-sheet,pips,pips,2024-08,2024-08,,no - verify against PDF contents,https://faam.com.gh/download/august-2024-pips-fact-sheet/?wpdmdl=7799&refresh=6a88c41a1e9321787347994
7872,faif,2026-02,FEBRUARY 2026 FAIF FACT SHEET,february-2026-faif-fact-sheet,faif,faif,2026-02,2026-02,,no - verify against PDF contents,https://faam.com.gh/download/february-2026-faif-fact-sheet/?wpdmdl=7872&refresh=6a88c41a235391787347994
7856,faif,2026-01,JANUARY 2026 FAIF FACT SHEET,january-2026-faif-fact-sheet,faif,faif,2026-01,2026-01,,no - verify against PDF contents,https://faam.com.gh/download/january-2026-faif-fact-sheet/?wpdmdl=7856&refresh=6a88c41a25a311787347994
7844,faif,2025-12,DECEMBER 2025 FAIF FACT SHEET,december-2025-faif-fact-sheet,faif,faif,2025-12,2025-12,,no - verify against PDF contents,https://faam.com.gh/download/december-2025-faif-fact-sheet/?wpdmdl=7844&refresh=6a88c41a27d751787347994
7843,faif,2025-11,NOVEMBER 2025 FAIF FACT SHEET,november-2025-faif-fact-sheet,faif,faif,2025-11,2025-11,,no - verify against PDF contents,https://faam.com.gh/download/november-2025-faif-fact-sheet/?wpdmdl=7843&refresh=6a88c41a2a0631787347994
7836,faif,2025-10,OCTOBER 2025 FAIF FACT SHEET,october-2025-faif-fact-sheet,faif,faif,2025-10,2025-10,,no - verify against PDF contents,https://faam.com.gh/download/october-2025-faif-fact-sheet/?wpdmdl=7836&refresh=6a88c41a2c2801787347994
7833,faif,2025-09,SEPTEMBER 2025 FAIF FACT SHEET,september-2025-faif-fact-sheet,faif,faif,2025-09,2025-09,,no - verify against PDF contents,https://faam.com.gh/download/september-2025-faif-fact-sheet/?wpdmdl=7833&refresh=6a88c41a2e42c1787347994
7830,faif,2025-08,AUGUST 2025 FAIF FACT SHEET,august-2025-faif-fact-sheet,faif,faif,2025-08,2025-08,,no - verify against PDF contents,https://faam.com.gh/download/august-2025-faif-fact-sheet/?wpdmdl=7830&refresh=6a88c41a306081787347994
7825,faif,2025-07,JULY 2025 FAIF FACT SHEET,july-2025-faif-fact-sheet,faif,faif,2025-07,2025-07,,no - verify against PDF contents,https://faam.com.gh/download/july-2025-faif-fact-sheet/?wpdmdl=7825&refresh=6a88c41a327b01787347994
7819,faif,2025-06,JUNE 2025 FAIF FACT SHEET,june-2025-faif-fact-sheet,faif,faif,2025-06,2025-06,,no - verify against PDF contents,https://faam.com.gh/download/june-2025-faif-fact-sheet/?wpdmdl=7819&refresh=6a88c41a3494a1787347994
7818,faif,2025-05,MAY 2025 FAIF FACT SHEET,may-2025-faif-fact-sheet,faif,faif,2025-05,2025-05,,no - verify against PDF contents,https://faam.com.gh/download/may-2025-faif-fact-sheet/?wpdmdl=7818&refresh=6a88c41a36dd61787347994
7812,faif,2025-04,APRIL 2025 FAIF FACT SHEET,march-2025-faif-fact-sheet-2,faif,faif,2025-04,2025-03,period: title=2025-04 slug=2025-03,no - verify against PDF contents,https://faam.com.gh/download/march-2025-faif-fact-sheet-2/?wpdmdl=7812&refresh=6a88c41a38fa91787347994
7810,faif,2025-03,MARCH 2025 FAIF FACT SHEET,march-2025-faif-fact-sheet,faif,faif,2025-03,2025-03,,no - verify against PDF contents,https://faam.com.gh/download/march-2025-faif-fact-sheet/?wpdmdl=7810&refresh=6a88c41a3b1601787347994
7807,faif,2025-01,JAN 2025 FAIF FACT SHEET,jan-2025-faif-fact-sheet,faif,faif,2025-01,2025-01,,no - verify against PDF contents,https://faam.com.gh/download/jan-2025-faif-fact-sheet/?wpdmdl=7807&refresh=6a88c41a3d3741787347994
7797,faif,2024-12,DEC 2024 FAIF FACT SHEETS,dec-2024-faif-fact-sheets,faif,faif,2024-12,2024-12,,no - verify against PDF contents,https://faam.com.gh/download/dec-2024-faif-fact-sheets/?wpdmdl=7797&refresh=6a88c41a3f5081787347994
7795,faif,2024-11,NOV 2024 FAIF FACT SHEETS,nov-2024-faif-fact-sheets,faif,faif,2024-11,2024-11,,no - verify against PDF contents,https://faam.com.gh/download/nov-2024-faif-fact-sheets/?wpdmdl=7795&refresh=6a88c41a4169c1787347994
7794,faif,2024-08,AUGUST 2024 FAIF FACT SHEET,august-2024-faif-fact-sheet,faif,faif,2024-08,2024-08,,no - verify against PDF contents,https://faam.com.gh/download/august-2024-faif-fact-sheet/?wpdmdl=7794&refresh=6a88c41a439da1787347994
7791,faif,2024-10,OCT 2024 FAIF FACT SHEETS,faif-fact-sheets-oct-2024,faif,faif,2024-10,2024-10,,no - verify against PDF contents,https://faam.com.gh/download/faif-fact-sheets-oct-2024/?wpdmdl=7791&refresh=6a88c41a45b751787347994
