provider,source_file,doc_date,page,category,product,fee_key,fee_name,applies_when,rate,rate_period,rate_basis,fixed_amount,currency,minimum_or_cap,collected_for,document_wording
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,debit_card,Visa debit cards (all tiers),atm_other_domestic,Other Bank ATMs (Domestic),Per transaction,,per_transaction,,10,GHS,,bank,GHS 10
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,debit_card,Visa debit cards (all tiers),atm_international,Other Bank ATMs (International),Per transaction,,per_transaction,,150,GHS,,bank,GHS 150 / $15 / €15 / £15
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,debit_card,Visa debit cards (all tiers),balance_enquiry_other,Balance enquiry on non-SCB ATMs,,,per_transaction,,3,GHS,,bank,GHS 3 / $0.5 / €0.5 / £0.5
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,debit_card,Visa debit cards (all tiers),foreign_transactions,Optional Issuer Fee (OIF),,0.06,per_transaction,amount,,,,bank,Gold 6% / Platinum 6% / Infinite 6%
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,debit_card,Visa debit cards (all tiers),cardless_withdrawal,Cardless Card withdrawal,Transactions above GHS 300,,per_transaction,,2,GHS,,bank,GHS 2 on transactions above GHS 300
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,4,personal_loan,Personal Loans,arrangement_fee_new,Arrangement Fee (Spread over loan term) - New Loans,,0.025,one_off,not_stated,,,,bank,2.5%
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,4,personal_loan,Personal Loans,arrangement_fee_topup,Arrangement Fee (Spread over loan term) - Top Ups,,0.02,one_off,not_stated,,,,bank,2.0%
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,4,personal_loan,Personal Loans,early_repayment,Early Settlement Fee,,0.0025,one_off,loan_balance,,,,bank,0.25% (on loan balance)
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,4,personal_loan,Personal Loans,late_payment,Late payment fee,,,per_occurrence,,50,GHS,,bank,GHS 50
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,account,Foreign currency current account (FEA & FCA),fx_service_band_1,Monthly Service Fee - FEA & FCA,Average credit balance <5k,,month,,7,USD,,bank,<5k: 7 (USD/EUR/GBP)
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,account,Foreign currency current account (FEA & FCA),fx_service_band_2,Monthly Service Fee - FEA & FCA,Average credit balance 5k - 10k,,month,,20,USD,,bank,5k - 10k: 20 (USD/EUR/GBP)
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,account,Foreign currency current account (FEA & FCA),fx_service_band_3,Monthly Service Fee - FEA & FCA,Average credit balance >10k - 25k,,month,,35,USD,,bank,>10k - 25k: 35 (USD/EUR/GBP)
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,account,Foreign currency current account (FEA & FCA),fx_service_band_4,Monthly Service Fee - FEA & FCA,Average credit balance >25k - 50k,,month,,60,USD,,bank,>25k - 50k: 60 (USD/EUR/GBP)
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,account,Foreign currency current account (FEA & FCA),fx_service_band_5,Monthly Service Fee - FEA & FCA,Average credit balance >50k - 100k,,month,,80,USD,,bank,>50k - 100k: 80 (USD/EUR/GBP)
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,account,Foreign currency current account (FEA & FCA),fx_service_band_6,Monthly Service Fee - FEA & FCA,Average credit balance >100k - 200k,,month,,100,USD,,bank,>100k - 200k: 100 (USD/EUR/GBP)
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,account,Foreign currency current account (FEA & FCA),fx_service_band_7,Monthly Service Fee - FEA & FCA,Average credit balance >200k,,month,,200,USD,,bank,>200k: 200 (USD/EUR/GBP)
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,4,account,Cheques,stopped_cheque,Stopped Cheque (GHS),,,per_occurrence,,40,GHS,,bank,40
